,season,yr,mnth,weathersit,temp,registered,cnt,weekend,daytype,windspeed_median,hum_median,fri,mon,sat,sun,thur,tue,wed
0,1,0,1,2,0.344167,654,985,1,1,0.160446,0.805833,0,0,1,0,0,0,0
1,1,0,1,2,0.363478,670,801,1,1,0.248539,0.696087,0,0,0,1,0,0,0
2,1,0,1,1,0.196364,1229,1349,0,3,0.248309,0.437273,0,1,0,0,0,0,0
3,1,0,1,1,0.2,1454,1562,0,3,0.160296,0.590435,0,0,0,0,0,1,0
4,1,0,1,1,0.226957,1518,1600,0,3,0.1869,0.436957,0,0,0,0,0,0,1
5,1,0,1,1,0.204348,1518,1606,0,3,0.0895652,0.518261,0,0,0,0,1,0,0
6,1,0,1,2,0.196522,1362,1510,0,3,0.168726,0.498696,1,0,0,0,0,0,0
7,1,0,1,2,0.165,891,959,1,1,0.266804,0.535833,0,0,1,0,0,0,0
8,1,0,1,1,0.138333,768,822,1,1,0.36195,0.434167,0,0,0,1,0,0,0
9,1,0,1,1,0.150833,1280,1321,0,3,0.223267,0.482917,0,1,0,0,0,0,0
10,1,0,1,2,0.169091,1220,1263,0,3,0.122132,0.686364,0,0,0,0,0,1,0
11,1,0,1,1,0.172727,1137,1162,0,3,0.304627,0.599545,0,0,0,0,0,0,1
12,1,0,1,1,0.165,1368,1406,0,3,0.301,0.470417,0,0,0,0,1,0,0
13,1,0,1,1,0.16087,1367,1421,0,3,0.126548,0.537826,1,0,0,0,0,0,0
14,1,0,1,2,0.233333,1026,1248,1,1,0.157963,0.49875,0,0,1,0,0,0,0
15,1,0,1,1,0.231667,953,1204,1,1,0.188433,0.48375,0,0,0,1,0,0,0
16,1,0,1,2,0.175833,883,1000,0,2,0.194017,0.5375,0,1,0,0,0,0,0
17,1,0,1,2,0.216667,674,683,0,3,0.146775,0.861667,0,0,0,0,0,1,0
18,1,0,1,2,0.292174,1572,1650,0,3,0.208317,0.741739,0,0,0,0,0,0,1
19,1,0,1,2,0.261667,1844,1927,0,3,0.195904,0.538333,0,0,0,0,1,0,0
20,1,0,1,1,0.1775,1468,1543,0,3,0.353242,0.457083,1,0,0,0,0,0,0
21,1,0,1,1,0.0591304,888,981,1,1,0.17197,0.4,0,0,1,0,0,0,0
22,1,0,1,1,0.0965217,836,986,1,1,0.2466,0.436522,0,0,0,1,0,0,0
23,1,0,1,1,0.0973913,1330,1416,0,3,0.15833,0.491739,0,1,0,0,0,0,0
24,1,0,1,2,0.223478,1799,1985,0,3,0.129796,0.616957,0,0,0,0,0,1,0
25,1,0,1,3,0.2175,472,506,0,3,0.29385,0.8625,0,0,0,0,0,0,1
26,1,0,1,1,0.195,416,431,0,3,0.113837,0.6875,0,0,0,0,1,0,0
27,1,0,1,2,0.203478,1129,1167,0,3,0.1233,0.793043,1,0,0,0,0,0,0
28,1,0,1,1,0.196522,975,1098,1,1,0.145365,0.651739,0,0,1,0,0,0,0
29,1,0,1,1,0.216522,956,1096,1,1,0.0739826,0.722174,0,0,0,1,0,0,0
30,1,0,1,2,0.180833,1459,1501,0,3,0.187192,0.60375,0,1,0,0,0,0,0
31,1,0,2,2,0.192174,1313,1360,0,3,0.053213,0.829565,0,0,0,0,0,1,0
32,1,0,2,2,0.26,1454,1526,0,3,0.264308,0.775417,0,0,0,0,0,0,1
33,1,0,2,1,0.186957,1489,1550,0,3,0.277752,0.437826,0,0,0,0,1,0,0
34,1,0,2,2,0.211304,1620,1708,0,3,0.127839,0.585217,1,0,0,0,0,0,0
35,1,0,2,2,0.233333,905,1005,1,1,0.161079,0.929167,0,0,1,0,0,0,0
36,1,0,2,1,0.285833,1269,1623,1,1,0.1418,0.568333,0,0,0,1,0,0,0
37,1,0,2,1,0.271667,1592,1712,0,3,0.0454083,0.738333,0,1,0,0,0,0,0
38,1,0,2,1,0.220833,1466,1530,0,3,0.36195,0.537917,0,0,0,0,0,1,0
39,1,0,2,2,0.134783,1552,1605,0,3,0.188839,0.494783,0,0,0,0,0,0,1
40,1,0,2,1,0.144348,1491,1538,0,3,0.221935,0.437391,0,0,0,0,1,0,0
41,1,0,2,1,0.189091,1597,1746,0,3,0.10855,0.506364,1,0,0,0,0,0,0
42,1,0,2,1,0.2225,1184,1472,1,1,0.203367,0.544167,0,0,1,0,0,0,0
43,1,0,2,1,0.316522,1192,1589,1,1,0.260883,0.457391,0,0,0,1,0,0,0
44,1,0,2,1,0.415,1705,1913,0,3,0.417908,0.375833,0,1,0,0,0,0,0
45,1,0,2,1,0.266087,1675,1815,0,3,0.291374,0.314348,0,0,0,0,0,1,0
46,1,0,2,1,0.318261,1897,2115,0,3,0.251791,0.423478,0,0,0,0,0,0,1
47,1,0,2,1,0.435833,2216,2475,0,3,0.230104,0.505,0,0,0,0,1,0,0
48,1,0,2,1,0.521667,2348,2927,0,3,0.264925,0.516667,1,0,0,0,0,0,0
49,1,0,2,1,0.399167,1103,1635,1,1,0.507463,0.187917,0,0,1,0,0,0,0
50,1,0,2,1,0.285217,1173,1812,1,1,0.223235,0.407826,0,0,0,1,0,0,0
51,1,0,2,2,0.303333,912,1107,0,2,0.307846,0.605,0,1,0,0,0,0,0
52,1,0,2,1,0.182222,1376,1450,0,3,0.195683,0.577778,0,0,0,0,0,1,0
53,1,0,2,1,0.221739,1778,1917,0,3,0.094113,0.423043,0,0,0,0,0,0,1
54,1,0,2,2,0.295652,1707,1807,0,3,0.250496,0.697391,0,0,0,0,1,0,0
55,1,0,2,2,0.364348,1341,1461,0,3,0.346539,0.712174,1,0,0,0,0,0,0
56,1,0,2,1,0.2825,1545,1969,1,1,0.186571,0.537917,0,0,1,0,0,0,0
57,1,0,2,1,0.343478,1708,2402,1,1,0.125248,0.68,0,0,0,1,0,0,0
58,1,0,2,2,0.407273,1365,1446,0,3,0.289686,0.876364,0,1,0,0,0,0,0
59,1,0,3,1,0.266667,1714,1851,0,3,0.216425,0.535,0,0,0,0,0,1,0
60,1,0,3,1,0.335,1903,2134,0,3,0.307833,0.449583,0,0,0,0,0,0,1
61,1,0,3,1,0.198333,1562,1685,0,3,0.225754,0.318333,0,0,0,0,1,0,0
62,1,0,3,2,0.261667,1730,1944,0,3,0.203346,0.610417,1,0,0,0,0,0,0
63,1,0,3,2,0.384167,1437,2077,1,1,0.251871,0.789167,0,0,1,0,0,0,0
64,1,0,3,2,0.376522,491,605,1,1,0.343287,0.948261,0,0,0,1,0,0,0
65,1,0,3,1,0.261739,1628,1872,0,3,0.341352,0.551304,0,1,0,0,0,0,0
66,1,0,3,1,0.2925,1817,2133,0,3,0.12065,0.420833,0,0,0,0,0,1,0
67,1,0,3,2,0.295833,1700,1891,0,3,0.22015,0.775417,0,0,0,0,0,0,1
68,1,0,3,3,0.389091,577,623,0,3,0.261877,0.626667,0,0,0,0,1,0,0
69,1,0,3,2,0.316522,1730,1977,0,3,0.23297,0.649565,1,0,0,0,0,0,0
70,1,0,3,1,0.329167,1408,2132,1,1,0.220775,0.594583,0,0,1,0,0,0,0
71,1,0,3,1,0.384348,1435,2417,1,1,0.270604,0.527391,0,0,0,1,0,0,0
72,1,0,3,1,0.325217,1687,2046,0,3,0.136926,0.496957,0,1,0,0,0,0,0
73,1,0,3,2,0.317391,1767,2056,0,3,0.184309,0.655652,0,0,0,0,0,1,0
74,1,0,3,2,0.365217,1871,2192,0,3,0.203117,0.776522,0,0,0,0,0,0,1
75,1,0,3,1,0.415,2320,2744,0,3,0.209579,0.602917,0,0,0,0,1,0,0
76,1,0,3,1,0.54,2355,3239,0,3,0.231017,0.525217,1,0,0,0,0,0,0
77,1,0,3,1,0.4725,1693,3117,1,1,0.368167,0.379167,0,0,1,0,0,0,0
78,1,0,3,1,0.3325,1424,2471,1,1,0.207721,0.47375,0,0,0,1,0,0,0
79,2,0,3,2,0.430435,1676,2077,0,3,0.288783,0.737391,0,1,0,0,0,0,0
80,2,0,3,1,0.441667,2243,2703,0,3,0.22575,0.624583,0,0,0,0,0,1,0
81,2,0,3,2,0.346957,1918,2121,0,3,0.234261,0.839565,0,0,0,0,0,0,1
82,2,0,3,2,0.285,1699,1865,0,3,0.243787,0.805833,0,0,0,0,1,0,0
83,2,0,3,1,0.264167,1910,2210,0,3,0.230725,0.495,1,0,0,0,0,0,0
84,2,0,3,1,0.265833,1515,2496,1,1,0.209571,0.394167,0,0,1,0,0,0,0
85,2,0,3,2,0.253043,1221,1693,1,1,0.1843,0.493913,0,0,0,1,0,0,0
86,2,0,3,1,0.264348,1806,2028,0,3,0.212204,0.302174,0,1,0,0,0,0,0
87,2,0,3,1,0.3025,2108,2425,0,3,0.226996,0.314167,0,0,0,0,0,1,0
88,2,0,3,2,0.3,1368,1536,0,3,0.172888,0.646667,0,0,0,0,0,0,1
89,2,0,3,3,0.268333,1506,1685,0,3,0.217646,0.918333,0,0,0,0,1,0,0
90,2,0,4,2,0.3,1920,2227,0,3,0.258708,0.68625,1,0,0,0,0,0,0
91,2,0,4,2,0.315,1354,2252,1,1,0.197146,0.65375,0,0,1,0,0,0,0
92,2,0,4,1,0.378333,1598,3249,1,1,0.182213,0.48,0,0,0,1,0,0,0
93,2,0,4,1,0.573333,2381,3115,0,3,0.385571,0.42625,0,1,0,0,0,0,0
94,2,0,4,2,0.414167,1628,1795,0,3,0.388067,0.642083,0,0,0,0,0,1,0
95,2,0,4,1,0.390833,2395,2808,0,3,0.263063,0.470833,0,0,0,0,0,0,1
96,2,0,4,1,0.4375,2570,3141,0,3,0.162312,0.602917,0,0,0,0,1,0,0
97,2,0,4,2,0.335833,1299,1471,0,3,0.226992,0.83625,1,0,0,0,0,0,0
98,2,0,4,2,0.3425,1576,2455,1,1,0.133083,0.8775,0,0,1,0,0,0,0
99,2,0,4,2,0.426667,1707,2895,1,1,0.146767,0.8575,0,0,0,1,0,0,0
100,2,0,4,2,0.595652,2493,3348,0,3,0.324474,0.716956,0,1,0,0,0,0,0
101,2,0,4,2,0.5025,1777,2034,0,3,0.274879,0.739167,0,0,0,0,0,1,0
102,2,0,4,2,0.4125,1953,2162,0,3,0.250617,0.819167,0,0,0,0,0,0,1
103,2,0,4,1,0.4675,2738,3267,0,3,0.1107,0.540417,0,0,0,0,1,0,0
104,2,0,4,1,0.446667,2484,3126,0,2,0.226375,0.67125,1,0,0,0,0,0,0
105,2,0,4,3,0.430833,674,795,1,1,0.340808,0.888333,0,0,1,0,0,0,0
106,2,0,4,1,0.456667,2186,3744,1,1,0.303496,0.479583,0,0,0,1,0,0,0
107,2,0,4,1,0.5125,2760,3429,0,3,0.163567,0.5425,0,1,0,0,0,0,0
108,2,0,4,2,0.505833,2795,3204,0,3,0.157971,0.665833,0,0,0,0,0,1,0
109,2,0,4,1,0.595,3331,3944,0,3,0.241925,0.614167,0,0,0,0,0,0,1
110,2,0,4,1,0.459167,3444,4189,0,3,0.325258,0.407083,0,0,0,0,1,0,0
111,2,0,4,2,0.336667,1506,1683,0,3,0.219521,0.729583,1,0,0,0,0,0,0
112,2,0,4,2,0.46,2574,4036,1,1,0.230725,0.887917,0,0,1,0,0,0,0
113,2,0,4,2,0.581667,2481,4191,1,1,0.192175,0.810833,0,0,0,1,0,0,0
114,2,0,4,1,0.606667,3300,4073,0,3,0.185333,0.776667,0,1,0,0,0,0,0
115,2,0,4,1,0.631667,3722,4400,0,3,0.3265,0.729167,0,0,0,0,0,1,0
116,2,0,4,2,0.62,3325,3872,0,3,0.3122,0.835417,0,0,0,0,0,0,1
117,2,0,4,2,0.6175,3489,4058,0,3,0.320908,0.700833,0,0,0,0,1,0,0
118,2,0,4,1,0.51,3717,4595,0,3,0.240063,0.457083,1,0,0,0,0,0,0
119,2,0,4,1,0.4725,3347,5312,1,1,0.235075,0.503333,0,0,1,0,0,0,0
120,2,0,5,2,0.451667,2213,3351,1,1,0.106354,0.762083,0,0,0,1,0,0,0
121,2,0,5,2,0.549167,3554,4401,0,3,0.183454,0.73,0,1,0,0,0,0,0
122,2,0,5,2,0.616667,3848,4451,0,3,0.342667,0.697083,0,0,0,0,0,1,0
123,2,0,5,2,0.414167,2378,2633,0,3,0.328996,0.737083,0,0,0,0,0,0,1
124,2,0,5,1,0.459167,3819,4433,0,3,0.295392,0.444167,0,0,0,0,1,0,0
125,2,0,5,1,0.479167,3714,4608,0,3,0.228246,0.59,1,0,0,0,0,0,0
126,2,0,5,1,0.52,3102,4714,1,1,0.16045,0.54125,0,0,1,0,0,0,0
127,2,0,5,1,0.528333,2932,4333,1,1,0.0746375,0.631667,0,0,0,1,0,0,0
128,2,0,5,1,0.5325,3698,4362,0,3,0.176,0.58875,0,1,0,0,0,0,0
129,2,0,5,1,0.5325,4109,4803,0,3,0.115671,0.489167,0,0,0,0,0,1,0
130,2,0,5,1,0.5425,3632,4182,0,3,0.120642,0.632917,0,0,0,0,0,0,1
131,2,0,5,1,0.535,4169,4864,0,3,0.189667,0.7475,0,0,0,0,1,0,0
132,2,0,5,2,0.5125,3413,4105,0,3,0.179725,0.863333,1,0,0,0,0,0,0
133,2,0,5,2,0.520833,2507,3409,1,1,0.13495,0.9225,0,0,1,0,0,0,0
134,2,0,5,2,0.5625,2971,4553,1,1,0.152979,0.867083,0,0,0,1,0,0,0
135,2,0,5,1,0.5775,3185,3958,0,3,0.126871,0.787917,0,1,0,0,0,0,0
136,2,0,5,2,0.561667,3445,4123,0,3,0.277354,0.837917,0,0,0,0,0,1,0
137,2,0,5,2,0.55,3319,3855,0,3,0.201492,0.87,0,0,0,0,0,0,1
138,2,0,5,2,0.530833,3840,4575,0,3,0.108213,0.829583,0,0,0,0,1,0,0
139,2,0,5,1,0.536667,4008,4917,0,3,0.125013,0.719583,1,0,0,0,0,0,0
140,2,0,5,1,0.6025,3547,5805,1,1,0.12065,0.626667,0,0,1,0,0,0,0
141,2,0,5,1,0.604167,3084,4660,1,1,0.148008,0.749583,0,0,0,1,0,0,0
142,2,0,5,2,0.631667,3438,4274,0,3,0.233842,0.81,0,1,0,0,0,0,0
143,2,0,5,2,0.66,3833,4492,0,3,0.207092,0.740833,0,0,0,0,0,1,0
144,2,0,5,1,0.660833,4238,4978,0,3,0.154233,0.69625,0,0,0,0,0,0,1
145,2,0,5,1,0.708333,3919,4677,0,3,0.199642,0.6775,0,0,0,0,1,0,0
146,2,0,5,1,0.681667,3808,4679,0,3,0.240679,0.65375,1,0,0,0,0,0,0
147,2,0,5,1,0.655833,2757,4758,1,1,0.230092,0.729583,0,0,1,0,0,0,0
148,2,0,5,1,0.6675,2433,4788,1,1,0.213938,0.81875,0,0,0,1,0,0,0
149,2,0,5,1,0.733333,2549,4098,0,2,0.131225,0.685,0,1,0,0,0,0,0
150,2,0,5,1,0.775,3309,3982,0,3,0.111329,0.636667,0,0,0,0,0,1,0
151,2,0,6,2,0.764167,3461,3974,0,3,0.207092,0.677083,0,0,0,0,0,0,1
152,2,0,6,1,0.715,4232,4968,0,3,0.292287,0.305,0,0,0,0,1,0,0
153,2,0,6,1,0.62,4414,5312,0,3,0.253121,0.354167,1,0,0,0,0,0,0
154,2,0,6,1,0.635,3473,5342,1,1,0.123142,0.45625,0,0,1,0,0,0,0
155,2,0,6,2,0.648333,3221,4906,1,1,0.138692,0.6525,0,0,0,1,0,0,0
156,2,0,6,1,0.678333,3875,4548,0,3,0.121896,0.6,0,1,0,0,0,0,0
157,2,0,6,1,0.7075,4070,4833,0,3,0.187808,0.597917,0,0,0,0,0,1,0
158,2,0,6,1,0.775833,3725,4401,0,3,0.136817,0.622083,0,0,0,0,0,0,1
159,2,0,6,2,0.808333,3352,3915,0,3,0.149883,0.568333,0,0,0,0,1,0,0
160,2,0,6,1,0.755,3771,4586,0,3,0.140554,0.605,1,0,0,0,0,0,0
161,2,0,6,1,0.725,3237,4966,1,1,0.15485,0.654583,0,0,1,0,0,0,0
162,2,0,6,1,0.6925,2993,4460,1,1,0.163567,0.747917,0,0,0,1,0,0,0
163,2,0,6,1,0.635,4157,5020,0,3,0.30535,0.494583,0,1,0,0,0,0,0
164,2,0,6,1,0.604167,4164,4891,0,3,0.269283,0.507083,0,0,0,0,0,1,0
165,2,0,6,1,0.626667,4411,5180,0,3,0.167912,0.471667,0,0,0,0,0,0,1
166,2,0,6,2,0.628333,3222,3767,0,3,0.206471,0.688333,0,0,0,0,1,0,0
167,2,0,6,1,0.649167,3981,4844,0,3,0.143029,0.735833,1,0,0,0,0,0,0
168,2,0,6,1,0.696667,3312,5119,1,1,0.119408,0.670417,0,0,1,0,0,0,0
169,2,0,6,2,0.699167,3105,4744,1,1,0.102,0.666667,0,0,0,1,0,0,0
170,2,0,6,2,0.635,3311,4010,0,3,0.155475,0.74625,0,1,0,0,0,0,0
171,3,0,6,2,0.680833,4061,4835,0,3,0.171025,0.770417,0,0,0,0,0,1,0
172,3,0,6,1,0.733333,3846,4507,0,3,0.172262,0.7075,0,0,0,0,0,0,1
173,3,0,6,2,0.728333,4044,4790,0,3,0.238804,0.703333,0,0,0,0,1,0,0
174,3,0,6,1,0.724167,4022,4991,0,3,0.222025,0.573333,1,0,0,0,0,0,0
175,3,0,6,1,0.695,3420,5202,1,1,0.209571,0.483333,0,0,1,0,0,0,0
176,3,0,6,1,0.68,3385,5305,1,1,0.0945333,0.513333,0,0,0,1,0,0,0
177,3,0,6,2,0.6825,3854,4708,0,3,0.107588,0.658333,0,1,0,0,0,0,0
178,3,0,6,1,0.744167,3916,4648,0,3,0.144283,0.634167,0,0,0,0,0,1,0
179,3,0,6,1,0.728333,4377,5225,0,3,0.261821,0.497917,0,0,0,0,0,0,1
180,3,0,6,1,0.696667,4488,5515,0,3,0.185312,0.434167,0,0,0,0,1,0,0
181,3,0,7,1,0.7225,4116,5362,0,3,0.102608,0.39625,1,0,0,0,0,0,0
182,3,0,7,1,0.738333,2915,5119,1,1,0.115062,0.444583,0,0,1,0,0,0,0
183,3,0,7,2,0.716667,2367,4649,1,1,0.228858,0.6825,0,0,0,1,0,0,0
184,3,0,7,2,0.726667,2978,6043,0,2,0.0814792,0.637917,0,1,0,0,0,0,0
185,3,0,7,1,0.746667,3634,4665,0,3,0.126258,0.590417,0,0,0,0,0,1,0
186,3,0,7,1,0.72,3845,4629,0,3,0.149883,0.743333,0,0,0,0,0,0,1
187,3,0,7,1,0.75,3838,4592,0,3,0.1592,0.65125,0,0,0,0,1,0,0
188,3,0,7,2,0.709167,3348,4040,0,3,0.225129,0.757917,1,0,0,0,0,0,0
189,3,0,7,1,0.733333,3348,5336,1,1,0.167912,0.609167,0,0,1,0,0,0,0
190,3,0,7,1,0.7475,3138,4881,1,1,0.183471,0.578333,0,0,0,1,0,0,0
191,3,0,7,1,0.7625,3363,4086,0,3,0.282337,0.635833,0,1,0,0,0,0,0
192,3,0,7,1,0.794167,3596,4258,0,3,0.200254,0.559167,0,0,0,0,0,1,0
193,3,0,7,1,0.746667,3594,4342,0,3,0.146133,0.631667,0,0,0,0,0,0,1
194,3,0,7,1,0.680833,4196,5084,0,3,0.240667,0.47625,0,0,0,0,1,0,0
195,3,0,7,1,0.663333,4220,5538,0,3,0.182833,0.59125,1,0,0,0,0,0,0
196,3,0,7,1,0.686667,3505,5923,1,1,0.208342,0.585,0,0,1,0,0,0,0
197,3,0,7,1,0.719167,3296,5302,1,1,0.245033,0.604167,0,0,0,1,0,0,0
198,3,0,7,1,0.746667,3617,4458,0,3,0.215804,0.65125,0,1,0,0,0,0,0
199,3,0,7,1,0.776667,3789,4541,0,3,0.1306,0.650417,0,0,0,0,0,1,0
200,3,0,7,1,0.768333,3688,4332,0,3,0.113817,0.707083,0,0,0,0,0,0,1
201,3,0,7,2,0.815,3152,3784,0,3,0.222021,0.69125,0,0,0,0,1,0,0
202,3,0,7,1,0.848333,2825,3387,0,3,0.1331,0.580417,1,0,0,0,0,0,0
203,3,0,7,1,0.849167,2298,3285,1,1,0.131221,0.5,0,0,1,0,0,0,0
204,3,0,7,1,0.83,2556,3606,1,1,0.169171,0.550833,0,0,0,1,0,0,0
205,3,0,7,1,0.743333,3272,3840,0,3,0.0908083,0.757083,0,1,0,0,0,0,0
206,3,0,7,1,0.771667,3840,4590,0,3,0.200258,0.540833,0,0,0,0,0,1,0
207,3,0,7,1,0.775,3901,4656,0,3,0.183463,0.402917,0,0,0,0,0,0,1
208,3,0,7,1,0.779167,3784,4390,0,3,0.178479,0.583333,0,0,0,0,1,0,0
209,3,0,7,1,0.838333,3176,3846,0,3,0.174138,0.5425,1,0,0,0,0,0,0
210,3,0,7,1,0.804167,2916,4475,1,1,0.168537,0.465833,0,0,1,0,0,0,0
211,3,0,7,1,0.805833,2778,4302,1,1,0.164813,0.480833,0,0,0,1,0,0,0
212,3,0,8,1,0.771667,3537,4266,0,3,0.156717,0.550833,0,1,0,0,0,0,0
213,3,0,8,1,0.783333,4044,4845,0,3,0.20585,0.49125,0,0,0,0,0,1,0
214,3,0,8,2,0.731667,3107,3574,0,3,0.135583,0.6575,0,0,0,0,0,0,1
215,3,0,8,2,0.71,3777,4576,0,3,0.19715,0.7575,0,0,0,0,1,0,0
216,3,0,8,1,0.710833,3843,4866,0,3,0.184696,0.630833,1,0,0,0,0,0,0
217,3,0,8,2,0.716667,2773,4294,1,1,0.22825,0.755,0,0,1,0,0,0,0
218,3,0,8,1,0.7425,2487,3785,1,1,0.201487,0.752917,0,0,0,1,0,0,0
219,3,0,8,1,0.765,3480,4326,0,3,0.192175,0.592083,0,1,0,0,0,0,0
220,3,0,8,1,0.775,3695,4602,0,3,0.151121,0.570417,0,0,0,0,0,1,0
221,3,0,8,1,0.766667,3896,4780,0,3,0.200258,0.424167,0,0,0,0,0,0,1
222,3,0,8,1,0.7175,3980,4792,0,3,0.164796,0.42375,0,0,0,0,1,0,0
223,3,0,8,1,0.708333,3854,4905,0,3,0.125621,0.415,1,0,0,0,0,0,0
224,3,0,8,2,0.685833,2646,4150,1,1,0.211454,0.729583,0,0,1,0,0,0,0
225,3,0,8,2,0.676667,2482,3820,1,1,0.222633,0.8175,0,0,0,1,0,0,0
226,3,0,8,1,0.665833,3563,4338,0,3,0.208954,0.712083,0,1,0,0,0,0,0
227,3,0,8,1,0.700833,4004,4725,0,3,0.236329,0.578333,0,0,0,0,0,1,0
228,3,0,8,1,0.723333,4026,4694,0,3,0.143667,0.575417,0,0,0,0,0,0,1
229,3,0,8,1,0.711667,3166,3805,0,3,0.233208,0.654583,0,0,0,0,1,0,0
230,3,0,8,2,0.685,3356,4153,0,3,0.139308,0.722917,1,0,0,0,0,0,0
231,3,0,8,1,0.6975,3277,5191,1,1,0.104467,0.674167,0,0,1,0,0,0,0
232,3,0,8,1,0.710833,2624,3873,1,1,0.248754,0.77,0,0,0,1,0,0,0
233,3,0,8,1,0.691667,3925,4758,0,3,0.27675,0.47,0,1,0,0,0,0,0
234,3,0,8,1,0.640833,4614,5895,0,3,0.146763,0.455417,0,0,0,0,0,1,0
235,3,0,8,1,0.673333,4181,5130,0,3,0.253108,0.605,0,0,0,0,0,0,1
236,3,0,8,2,0.684167,3107,3542,0,3,0.210833,0.771667,0,0,0,0,1,0,0
237,3,0,8,1,0.7,3893,4661,0,3,0.0839625,0.76125,1,0,0,0,0,0,0
238,3,0,8,2,0.68,889,1115,1,1,0.375617,0.85,0,0,1,0,0,0,0
239,3,0,8,1,0.707059,2919,4334,1,1,0.304659,0.561765,0,0,0,1,0,0,0
240,3,0,8,1,0.636667,3905,4634,0,3,0.159825,0.554583,0,1,0,0,0,0,0
241,3,0,8,1,0.639167,4429,5204,0,3,0.125008,0.548333,0,0,0,0,0,1,0
242,3,0,8,1,0.656667,4370,5058,0,3,0.0833333,0.597917,0,0,0,0,0,0,1
243,3,0,9,1,0.655,4332,5115,0,3,0.141796,0.639167,0,0,0,0,1,0,0
244,3,0,9,2,0.643333,3852,4727,0,3,0.139929,0.727083,1,0,0,0,0,0,0
